id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6,Home in San Diego · ★4.81 · 3 bedrooms · 3 beds · 2 baths,29,Sara,,North Hills,32.75522,-117.12873,Entire home/apt,349,10,153,2019-09-14,0.84,1,0,0,"STR-04545L, 631067"
29967,Bungalow in San Diego · ★4.78 · 2 bedrooms · 3 beds · 2 baths,129123,Michael,,Pacific Beach,32.80751,-117.2576,Entire home/apt,286,4,93,2023-06-05,0.59,5,213,12,"STR-05218L, 645110"
54001,Guesthouse in La Jolla · ★4.94 · 2 bedrooms · 3 beds · 1 bath,252692,Marsha,,La Jolla,32.81301,-117.26856,Entire home/apt,196,3,309,2023-06-19,2.03,2,86,20,"STR-05706L, 523003"
62274,Guesthouse in San Diego · ★4.77 · 1 bedroom · 1 bed · 1 bath,302986,Isabel,,Pacific Beach,32.80583,-117.24244,Entire home/apt,99,1,804,2023-06-09,5.26,3,236,71,"STR-00821L, 520121"
62949,Guest suite in San Diego · ★4.86 · Studio · 1 bath,21532,Lisa,,Pacific Beach,32.80621,-117.23372,Entire home/apt,114,1,963,2023-06-22,7.30,2,123,98,"STR-06358L, 62086"
75668,Condo in San Diego · ★4.83 · 1 bedroom · 1 bed · 1 private bath,401936,Johnathon,,North Hills,32.74699,-117.14243,Private room,45,31,198,2022-11-26,1.36,2,115,3,
79300,Condo in San Diego · ★4.81 · 1 bedroom · 1 bed · 1 private bath,401936,Johnathon,,North Hills,32.74715,-117.1428,Private room,50,31,162,2022-12-13,1.09,2,137,2,
103417,Home in La Jolla  · ★4.93 · 1 bedroom · 1 bed · 1 shared bath,252692,Marsha,,La Jolla,32.81321,-117.26853,Private room,98,30,250,2023-06-04,1.73,2,22,18,
103720,Bed and breakfast in San Diego · ★4.96 · 1 bedroom · 1 bed · 1 bath,507423,Ann,,Midtown,32.74779,-117.1648,Entire home/apt,203,1,89,2023-05-06,0.61,8,144,6,Exempt
103841,Townhouse in San Diego · ★4.97 · 1 bedroom · 1 bed · 1.5 shared baths,541128,Florence,,North City,32.95948,-117.23468,Private room,79,2,144,2023-06-21,0.98,1,0,25,
108349,Townhouse in San Diego · ★4.75 · 3 bedrooms · 5 beds · 2.5 baths,546519,Juliana,,Pacific Beach,32.79783,-117.25416,Entire home/apt,526,6,162,2022-06-28,1.13,2,298,1,"STR-00365L, 520053"
126344,Home in San Diego · ★4.71 · 3 bedrooms · 6 beds · 2 baths,546519,Juliana,,Pacific Beach,32.80751,-117.25728,Entire home/apt,673,6,197,2023-06-05,1.39,2,286,16,"STR-00366L, 520229"
132966,Rental unit in San Diego · ★4.80 · Studio · 1 bed · 1 bath,555739,Rosana,,La Jolla,32.80934,-117.25913,Entire home/apt,95,31,36,2023-01-21,0.28,1,269,4,
149548,Home in San Diego · ★4.93 · 1 bedroom · 1 bed · 1 shared bath,721326,Olivia,,Bay Park,32.79993,-117.20067,Private room,78,3,243,2023-06-23,1.68,2,131,26,
165967,Guest suite in San Diego · ★4.98 · Studio · 1 bed · 1 bath,790976,Mike,,West University Heights,32.75314,-117.15142,Entire home/apt,141,3,691,2023-06-20,4.77,2,198,50,"STR-01893L, 519224"
166241,Townhouse in Chula Vista · ★4.89 · 1 bedroom · 1 bed · 1.5 baths,792566,'Elia,,Rolling Hills Ranch,32.65865,-116.96947,Private room,75,30,57,2022-10-31,0.39,1,106,3,
167022,Home in San Diego · ★4.71 · 1 bedroom · 1 bed · 1 shared bath,795905,Franz,,Pacific Beach,32.79644,-117.23409,Private room,85,3,235,2022-08-19,1.62,2,0,2,
167760,Home in San Diego · ★4.87 · 1 bedroom · 1 bed · 1 shared bath,799669,Mary,,Mira Mesa,32.91216,-117.12881,Private room,65,3,86,2023-03-06,0.59,3,0,5,
